latitude, longitude, elevation_m, observation_time, station_id, temperature_c, wind_speed_ms, wind_direction, wind_gust, precipitation, source
-17.594721,-69.475277,,,Visviri Inia,,,,,,
27.4,8.8333333333,,,ADEB LERRACH,,,,,,
27.83718,-0.19364,,,ADRAR,,,,,,
36.26511,1.94852,,,AIN DEFLA,,,,,,
36.2846,3.68946,,,AIN-BESSAM,,,,,,
32.75197,-0.59401,,,AIN-SEFRA,,,,,,
36.77451,3.06243,,,ALGER PORT,,,,,,
19.4333333333,4.65,,,ANESBARAKA,,,,,,
36.822222,7.8025,,,ANNABA,,,,,,
35.81688,-0.26837,,,ARZEW,,,,,,
23.26116,5.63115,,,Assekrem,,,,,,
35.34787,5.33993,,,BARIKA,,,,,,
35.76083,6.31972,,,BATNA,,,,,,
31.65428,-2.25236,,,BECHAR,,,,,,
36.7166666667,5.0666666667,,,BEJAIA-AEROPORT,,,,,,
32.05138,-1.26527,,,BENI OUNIF,,,,,,
30.12846,-2.14953,,,BENI-ABBES,,,,,,
35.30099,-1.39514,,,BENI-SAF,,,,,,
22.3166666667,1.1166666667,,,BIDON 5,,,,,,
34.8,5.7333333333,,,BISKRA,,,,,,
21.37609,0.93205,,,BORDJ-BADJ-MOKHTAR,,,,,,
36.06752,4.79452,,,BORDJ-BOU-ARRERIDJ,,,,,,
35.3333333333,4.2,,,BOU-SAADA,,,,,,
36.45821,7.70874,,,BOUCHEGOUF,,,,,,
36.625972,2.656833,,,BOUHAROUN,,,,,,
36.36997,3.89507,,,BOUIRA,,,,,,
36.21635,1.3217,,,CHLEF,,,,,,
36.2778,6.62832,,,CONSTANTINE,,,,,,
36.7,3.2,,,DAR EL BEIDA VILLE,,,,,,
36.68993,3.21662,,,DAR-EL-BEIDA,,,,,,
36.89671,3.95527,,,DELLYS,,,,,,
24.28823,9.46766,,,DJANET,,,,,,
34.65361,3.28138,,,DJELFA,,,,,,
33.71966,1.09484,,,EL-BAYADH,,,,,,
30.57246,2.86803,,,EL-GOLEA,,,,,,
33.50618,6.78841,,,EL-OUED,,,,,,
26.75,-7.25,,,GARADJEBILET,,,,,,
32.38638,3.78361,,,GHARDAIA,,,,,,
35.09807,-1.86335,,,GHAZAOUET,,,,,,
36.45641,7.47944,,,GUELMA,,,,,,
29.1666666667,-5.2333333333,,,HASSI KHEBBI,,,,,,
31.65861,6.14138,,,HASSI-MESSAOUD,,,,,,
32.93416,3.30333,,,HASSIR'MEL,,,,,,
26.71916,8.61722,,,ILLIZI,,,,,,
20.5666666667,6.1166666667,,,IN ATEI,,,,,,
20.9666666667,7.45,,,IN AZAOUA,,,,,,
28.05294,9.63959,,,IN-AMENAS,,,,,,
19.5655,5.75412,,,IN-GUEZZAM,,,,,,
27.2537,2.51164,,,IN-SALAH,,,,,,
36.79472,5.87722,,,JIJEL- ACHOUAT,,,,,,
35.4666666667,7.0833333333,,,KHENCHELLA,,,,,,
29.07161,2.20815,,,KRECHBA,,,,,,
35.25222,2.29611,,,KSAR CHELLALA,,,,,,
35.65098,4.49813,,,M'SILA,,,,,,
34.81143,-1.78242,,,MAGHNIA,,,,,,
35.20666,0.1525,,,MASCARA-GHRISS,,,,,,
33.54581,-0.23527,,,MECHERIA,,,,,,
36.2811,2.73155,,,MEDEA,,,,,,
36.40082,6.32685,,,MILA,,,,,,
36.30582,2.2284,,,MILIANA,,,,,,
35.91166,0.11027,,,MOSTAGANEM,,,,,,
33.26108,-0.31744,,,NAAMA,,,,,,
35.71055,-0.65305,,,ORAN-PORT,,,,,,
35.63111,-0.60388,,,ORAN-SENIA,,,,,,
31.93641,5.41178,,,OUARGLA,,,,,,
35.8666666667,7.13027,,,OUM EL BOUAGHI,,,,,,
29.7352,6.71306,,,RHOURD NOUSS,,,,,,
34.89186,0.15774,,,SAIDA,,,,,,
36.1666666667,5.3166666667,,,SETIF/AIN ARNAT,,,,,,
35.17388,-0.59527,,,SIDI-BEL-ABBES,,,,,,
36.88178,6.93503,,,SKIKDA,,,,,,
36.2975,7.92277,,,SOUK AHRAS,,,,,,
22.8253,5.45255,,,TAMANRASSET,,,,,,
36.75463,8.07933,,,TARF,,,,,,
35.42861,8.11527,,,TEBESSA,,,,,,
36.51415,1.30711,,,TENES,,,,,,
